0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2098176,659,4857,1004,4204,1004,4204,1004,4204,1019,4128,1019,4128,1019,4128,1019,4128,1019,4128,1019,4128
4196352,941,4869,1164,4590,1160,4574,1160,4574,1125,4483,1125,4483,1125,4483,1125,4483,1125,4483,1125,4483
6294528,1195,4866,1262,4668,1264,4652,1264,4652,1241,4585,1241,4585,1241,4585,1241,4585,1241,4585,1241,4585
8392704,1376,5146,1477,5108,1469,4982,1469,4982,1460,5064,1460,5064,1460,5064,1460,5064,1460,5064,1460,5064
10490880,1487,5216,1565,5148,1557,5018,1557,5018,1547,5100,1547,5100,1547,5100,1547,5100,1547,5100,1547,5100
12589056,1742,6752,1820,6312,1809,6153,1809,6133,1820,6243,1820,6243,1820,6243,1820,6243,1820,6243,1820,6243
14687232,2020,7795,2111,7436,2136,7130,2113,7221,2144,7358,2126,7366,2126,7366,2126,7366,2126,7366,2126,7366
16785408,2085,7867,2128,7555,2153,7255,2132,7335,2158,7503,2145,7500,2145,7500,2145,7500,2145,7500,2145,7500
18883584,2100,7510,2047,7456,2072,7164,2062,7232,2083,7418,2070,7404,2070,7404,2070,7404,2070,7404,2078,7281
20981760,1998,7924,1981,7831,2006,7540,1994,7611,1997,7815,1985,7800,1985,7800,1985,7800,1985,7800,2067,7261
23079936,2018,8054,1979,8090,1996,7807,1975,7887,1977,8092,1971,8071,1971,8071,1971,8071,1971,8071,2067,7169
25178112,2005,8225,1997,8202,1993,8221,1971,8293,1981,8495,1970,8483,1970,8483,1970,8483,1970,8483,2081,7161
27276288,1998,8540,1997,8527,1993,8549,1972,8614,1979,8822,1968,8810,1968,8810,1968,8810,1968,8810,2081,7161
29374464,2003,9641,2005,9586,1998,9606,1978,9669,1997,9855,1986,9833,1986,9833,1986,9833,1986,9833,2081,7161
31472640,1964,10089,1950,10093,1944,10117,1922,10186,1940,10378,1930,10357,1930,10357,1930,10357,1930,10357,2081,7161
33570816,1919,10726,1920,10713,1914,10737,1892,10806,1911,10997,1901,10976,1901,10976,1901,10976,1901,10976,2081,7161
35668992,1908,11067,1908,11063,1902,11087,1879,11144,1896,11341,1886,11320,1886,11320,1886,11320,1886,11320,2081,7161
37767168,1932,14516,1944,14504,1940,14526,1923,14590,1967,14760,1959,14737,1959,14737,1959,14737,1959,14737,2081,7161
39865344,1922,17780,1923,17689,1916,17706,1894,17763,1932,17914,1924,17887,1924,17887,1924,17887,1927,15933,2081,7161
41963520,1910,23228,1912,23158,1907,23181,1879,23236,1918,23384,1910,23353,1910,23353,1910,23353,1926,15938,2081,7161
44061696,1896,27014,1901,26976,1894,26998,1874,27060,1913,27219,1903,27195,1903,27195,1903,27195,1925,15939,2081,7161
46159872,2120,27430,2120,27430,2113,27455,2089,27526,2124,27701,2115,27679,2115,27679,2115,27679,1927,15937,2081,7161
48258048,2256,28487,2257,28419,2250,28444,2226,28515,2259,28696,2250,28674,2250,28674,2250,28674,1925,15939,2081,7161
50356224,2086,35112,2112,35011,2106,35031,2078,35006,2116,35161,2107,35136,2107,35136,2107,35136,1925,15939,2081,7161
52454400,1978,36550,1982,36536,1975,36561,1945,36621,1964,36812,1956,36788,1956,36788,1956,36788,1926,15938,2081,7161
